source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
patents-2025,3,"Mr. Chandra Kumar Sahu
 Ms. Soma Rajwade",Faculty of Engineering,INTEGRATING MACHINE LEARNING WITH TRAVELING SALESMAN PROBLEM (TSP) FOR INTELLIGENT ROUTE OPTIMIZATION IN SMART CITIES,23.05.2025,202541041213,Published,
patents-2025,4,"Dr. Swapnil Shukla
 Shailesh Singh Thakur",Faculty of Engineering,FOLDABLE CRUCIBLE TRAY FOR SINTERING IN FURNACES,28.04.2025,423700-001,Grant Design,
patents-2025,5,"Mr. Ashutosh Pandey
 Dr. Swati Agrawal
 Ms. Soumya Pandey
 Ms. Madhu Sahu
 Dr. E V R Rao",Faculty of Engineering,AI-OPTIMIZED METHOD AND SYSTEM FOR RECYCLED AGGREGATE CONCRETE MIX DESIGN,18.04.2025,202521033496,Published,
patents-2025,6,Ms. Vaishali Sinha,Faculty of Science,SELF-EVOLVING MACHINE LEARNING ALGORITHMS FOR PERSONALIZED CYBERSECURITY THREAT DETECTION,04.04.2025,202531022070,Published,
patents-2025,7,Dr. Lubhawani Tripathi,Faculty of Education,AI BASED DISPLAY COMPUTER DEVICE FOR ONLINE LEARNING AND MANAGEMENT,31.03.2025,6418242,Grant Design,
patents-2025,8,Dr. Ashok Kumar,Faculty of Pharmacy,DEVICE FOR DEVELOPING TRANSDERMAL PATCHES FOR DIABETES,28.03.2025,447173-001,Grant Design,
patents-2025,9,Dr. Saroj Nayyar,Faculty of Education,BIOMETRIC ATTENDANCE DEVICE WITH TOUCH FREE BODY TEMPERATURE SCREENING,26.03.2025,446258-001,Grant Design,
patents-2025,10,Dr. Pradeep Kumar,Faculty of Science,Engineered Bacteria For Rapid Detection of Pathogenic Contaminants in Food,11.03.2025,202541022068,Published,
patents-2025,11,Dr. Abhishek Sahu,Faculty of Engineering,VERSATILE VIBRATION SETUP FOR MEASURING FREQUENCIES OF PLATES UNDER VARIOUS BOUNDARY CONDITIONS,27.01.2025,432063-001,Grant Design,
patents-2025,12,"Jayakumar Rajamani
 Dharneesh Kumar
 Cipra Sahu",Faculty of Science,Repurposing magnets from obsolete wired earphones as Magnetic concentrator to separate metals from other wastes in domestic environs.,24.01.2025,202421101611,Published,
patents-2025,13,Dr. Shraddha Varma,Faculty of Education,HIGHER EDUCATION INSTITUTION'S QUALITY ANALYZER DEVICE,23.01.2025,417655-001,Grant Design,
Patents Lists - 2021,1,Dr. Deepti Patnaik,"EVALUATING FOREIGN MARKET ENTRY MODES: COMPARATIVE ANALYSIS OF EXPORTING, JOINT VENTURES, AND DIRECT INVESTMENT",15.08.2025,202521000000,Published,,
Patents Lists - 2024,1,Dr. Deepti Patnaik,EFFECTIVE BUSINESS COMMUNICATION IN THE DIGITAL AGE: STRATEGIES FOR SUCCESS,30.08.2024,202421000000,Published,,
Patents Lists - 2024,2,Mrs. Nishtha Sharma,A METHOD FOR OPTIMIZING RESOURCE ALLOCATION USING MACHINE LEARNING ALGORITHMS,25.10.2024,202421000000,Published,,
Patents Lists - 2024,3,Dr. Shinki Katyayani Pandey,A SYSTEM OF PERSONALIZED MARKETING AUTOMATION PLATFORM FOR RETAIL BUSINESSES,18.10.2024,202421000000,Published,,
Patents Lists - 2024,4,Mrs. Nishtha Sharma,A SYSTEM OF AI-BASED FRAUD DETECTION AND PREVENTION IN FINANCIAL,18.10.2024,202421000000,Published,,
Patents Lists - 2024,5,"Dr. Deepti Patnaik
Mr. Rakshak Bharti",A SYSTEM OF DECENTRALIZED LEDGER TECHNOLOGY FOR TRANSPARENT AND TRUSTWORTHY FINANCIAL,18.10.2024,202421000000,Published,,
Patents Lists - 2024,6,Dr. Arvind Kumar Saxena,INTELLIGENT BUSINESS MANAGEMENT SYSTEM AND METHOD THEREOF,14.06.2024,202421000000,Published,,
Patents Lists - 2024,7,"Dawakit Lepcha
Mr. Rakshak Bharti",ANALYSIS OF SOCIAL MEDIA MARKETING IMPACT ON CONSUMER BEHAVIOUR,11.10.2024,202431000000,Published,,
Patents Lists - 2024,8,"Mr. Rakshak Bharti
Dr. Deepti Patnaik",AN INTELLIGENT ALGORITHMIC TRADING SYSTEM FOR ENHANCED FINANCIAL DECISION MAKING,11.10.2024,202421000000,Published,,
Patents Lists - 2024,9,Mrs. Nishtha Sharma,A SYSTEM OF SECURE MULTI-FACTOR AUTHENTICATION FRAMEWORK FOR FINANCIAL TRANSACTIONS,11.10.2024,202421000000,Published,,
Patents Lists - 2024,10,Dr. Shinki Katyayani Pandey,A SYSTEM OF BLOCKCHAIN-BASED TOKENIZATION OF ASSETS FOR EFFICIENT FINANCIAL TRANSACTIONS,11.10.2024,202421000000,Published,,
Patents Lists - 2024,11,Mrs. Kanchan Thakur,THE INFLUENCER MARKETING EFFECT ON GENERATION Z'S PRODUCT BUYING BEHAVIOR,09.10.2024,202431000000,Published,,
Patents Lists - 2024,12,Dr. Ankita Nihlani,AN AUTONOMOUS VEHICLE NAVIGATION SYSTEM WITH REAL-TIME OBSTACLE DETECTION AND ADAPTIVE ROUTE OPTIMIZATION,08.11.2024,202421000000,Published,,
Patents Lists - 2024,13,Dr. Ankita Nihlani,AN AI-DRIVEN TALENT ACQUISITION AND WORKFORCE OPTIMIZATION SYSTEM,08.11.2024,202421000000,Published,,
Patents Lists - 2024,14,Dr. Deepti Patnaik,ALGORITHM FOR REAL-TIME ECONOMIC FORECASTING AND ANALYSIS,04.06.2024,202441000000,Published,,
Patents Lists - 2023,1,Ms. Nishtha Sharma,THE IMPACT ADVERTISING RESEARCH PRACTICES ON THE ADVERTISING PERFORMANCE OF COMPANIES,22.12.2023,202321000000,Published,,
Patents Lists - 2023,2,Mrs. Nishtha Sharma,INNOVATIVE TECHNIQUE TO EXPORT INDIAN COMMODITIES TO OTHER COUNTRIES BY IMPLEMENTING NOVEL SUPPLY CHAIN PROCESS,20.10.2023,202321000000,Published,,
Patents Lists - 2023,3,Ms. Shinki K. Pandey,VAR MODEL FOR MEASURING CRYPTOCURRENCY VOLATILITY,19.05.2023,202321000000,Published,,
Patents Lists - 2021 -1,1,Dr. R Shridhar,DRIVING EXPERIENCE SIMULATION OF TWO WHEELERS AND FOUR WHEELER,26.11.2021,202121041553,Published,,
Patents Lists - 2021 -1,2,Dr. R Shridhar,UNIQUE BUSSINESS PROCESS,26.11.2021,202121041557,Published,,
Patents Lists - 2021 -1,3,Dr. Byju John,REVIEWING OF ORGANIZATION DEVELOPMENT INTERVENTIONS IN ORGANIZATIONS.,26.11.2021,202121041559,Published,,
Patents Lists - 2021 -1,4,Dr. Byju John,STRATEGIC HUMAN RESOURCE MANAGEMENT,26.11.2021,202121041547,Published,,
Patents Lists - 2021 -1,5,Dr. Paritosh Dube,ADVANCED SUPPLY CHAIN LINK PERFORMANCE AND FINANCIAL STATEMENT ANALYZER,22.01.2021,202021055414,Published,,
Patent list 2022,1,Dr. Byju John,PERFORMANCE APPRAISAL SYSTEMS,24.06.2022,202221032546,Published,,
Patent list 2022,2,Dr. Byju John,TRAINING NEED ANALYSIS,24.06.2022,202221032545,Published,,
Patent list 2022,3,Dr. R. Shridhar,HERBAL GEL DIFFUSER FOR NASAL DECONGESTION,24.06.2022,202221032552,Published,,
Patents List - 2025,1,Dr. Deepti Patnaik,"EVALUATING FOREIGN MARKET ENTRY MODES: COMPARATIVE ANALYSIS OF EXPORTING, JOINT VENTURES, AND DIRECT INVESTIMENT",15.08.2025,202521073661,Published,,
Patents List - 2024,1,Dr. Deepti Patnaik,EFFECTIVE BUSINESS COMMUNICATION IN THE DIGITAL AGE: STRATEGIES FOR SUCCESS,30.08.2024,202421059448,Published,,
Patents List - 2024,2,Mrs. Nishta Sharma,A METHOD FOR OPTIMIZING RESOURCE ALLOCATION USING MACHINE LEARNING ALGORITHMS,25.10.2024,202421069399,Published,,
Patents List - 2024,3,Dr. Shinki Katyayani Pandey,A SYSTEM OF PERSONALIZED MARKETING AUTOMATION PLATFORM FOR RETAIL BUSINESSES,18.10.2024,202421068222,Published,,
Patents List - 2024,4,Mrs. Nishtha Sharma,A SYSTEM OF AI-BASED FRAUD DETECTION AND PREVENTION IN FINANCIAL,18.10.2024,202421068223,Published,,
Patents List - 2024,5,"Dr. Deepti Patnaik
Mr. Rakshak Bharti",A SYSTEM OF DECENTRALIZED LEDGER TECHNOLOGY FOR TRANSPARENT AND TRUSTWORTHY FINANCIAL,18.10.2024,202421068224,Published,,
Patents List - 2024,6,Dr. Arvind Kumar Saxena,INTELLEGENT BUSINESS MANAGEMENT SYSTME AND METHOD THEREOF,14.06.2024,202421037523,Published,,
Patents List - 2024,7,"Dawakit Lepcha
Mr. Rakshak Bharti",ANALYSIS OF SOCIAL MEDIA MARKETING IMPACT ON CONSUMER BEHAVIOUR,11.10.2024,202431074477,Published,,
Patents List - 2024,8,"Mr. Rakshak Bharti
Dr. Deepti Patnaik",AN INTELLIGENT ALGORITHMIC TRADING SYSTEM FOR ENHANCED FINANCIAL DECISION MAKING,11.10.2024,202421067525,Published,,
Patents List - 2024,9,Mrs. NIshtha Sharma,A SYSTEM OF SECURE MULTI-FACTOR AUTHENTICATION FRAMEWORK FOR FINANCIAL TRANSACTIONS,11.10.2024,202421067530,Published,,
Patents List - 2024,10,Dr. Shinki Katyayani Pandey,A SYSTEM OF BLOCKCHAIN-BASED TOKENIZATION OF ASSETS FOR EFFICIENT FINANCIAL TRANSACTIONS,11.10.2024,202421067531,Published,,
Patents List - 2024,11,Mrs. Kanchan Thakur,THE INFLUENCER MARKETING EFFECT ON GENERATION Z'S PRODUCT BUYING BEHAVIOR,09.10.2024,202431076450,Published,,
Patents List - 2024,12,Dr. Ankita Nihlani,"AN AUTONOMOUS VEHICLE NAVIGATION SYSTEM WITH REAL-TIME OBSTACLE DETECTION AND ADAPTIVE ROUTE
OPTIMIZATION",08.11.2024,202421075437,Published,,
Patents List - 2024,13,Dr. Ankita Nihlani,AN AI-DRIVEN TALENT ACQUISITION AND WORKFORCE OPTIMIZATION SYSTEM,08.11.2024,202421075441,Published,,
Patents List - 2024,14,Dr. Deepti Patnaik,ALORITHM FOR REAL-TIME ECONOMIC FORECASTING AND ANALYISIS,04.06-2024,202441035498,Published,,
Patents list - 2023,1,Ms. Nishtha Sharma,THE IMPACT ADVERTISING RESEARCH PRACTICES ON THE ADVERTISING PERFORMANCE OF COMPANIES,22.12.2023,202321072106,Published,,
Patents list - 2023,2,Mrs. Nishtha Sharma,INNOVATIVE TECHNIQUE TO EXPORT INDIAN COMMODITIES TO OTHER COUNTRIES BY IMPLEMENTING NOVEL SUPPLY CHAIN PROCESS.,20.10.2023,202321063192,Published,,
Patents list - 2023,3,Ms. Shinki K. Pandey,VAR MODEL FOR MEASURING CRPTOCURRENCY VOLATILITY.,19.05.2023,202321006078,Published,,
patents list - 2022,1,Dr. Byju John,PERFORMANCE APPRAISAL SYSTEMS,24.06.2022,202221032546,,Published,
patents list - 2022,2,Dr. Byju John,TRAINING NEED ANALYSIS,24.06.2022,202221032545,,Published,
patents list - 2022,3,Dr. R. Shridhar,HERBAL GEL DIFFUSER FOR NASAL DECONGESTION,24.06.2022,202221032552,,Published,
patents list - 2021,4,Dr. Byju John,STRATEGIC HUMAN RESOURCE MANGEMENT,26.11.2021,202121041547,Published,,
New Updated Patents 2025,1,Dr. Shraddha Varma,Faculty of Education,HIGHER EDUCATION INSTITUTION'S QUALITY ANALYZER DEVICE,23.01.2025,417655-001,Grant Design,View
New Updated Patents 2025,2,Dr. Lubhawani Tripathi,Faculty of Education,AI BASED DISPLAY COMPUTER DEVICE FOR ONLINE LEARNING AND MANAGEMENT,31.03.2025,6418242,Grant Design,View
New Updated Patents 2025,3,"Mr. Ashutosh Pandey
Dr. Swati Agrawal
Ms. Soumya Pandey
Ms. Madhu Sahu
Dr. E V R Rao",Faculty of Engineering,AI-OPTIMIZED METHOD AND SYSTEM FOR RECYCLED AGGREGATE CONCRETE MIX DESIGN,18.04.2025,202521033496,Published,View
New Updated Patents 2025,4,"Dr. Swapnil Shukla
Shailesh Singh Thakur",Faculty of Engineering,FOLDABLE CRUCIBLE TRAY FOR SINTERING IN FURNACES,28.04.2025,423700-001,Grant Design,View
New Updated Patents 2025,5,"Jayakumar Rajamani
Dharneesh Kumar
Cipra Sahu",Faculty of Science,Repurposing magnets from obsolete wired earphones as Magnetic concentrator to separate metals from other wastes in domestic environs.,24.01.2025,202421101611,Published,View
New Updated Patents 2025,6,Dr. Pradeep Kumar,Faculty of Science,Engineered Bacteria For Rapid Detection of Pathogenic Contaminats in Food,11.03.2025,202541022068,Published,View
New Updated Patents 2025,7,Ms. Vaishali Sinha,Faculty of Science,SELF-EVOLVING MACHINE LEARNING ALGORITHMS FOR PERSONALIZED CYBERSECURITY THREAT DETECTION,04.04.2025,202531022070,Published,View
New Updated Patents 2025,8,Dr. Saroj Nayyar,Faculty of Education,BIOMETRIC ATTENDANCE DEVICE WITH TOUCH FREE BODY TEMPERATURE SCREENING,26.03.2025,446258-001,Grant Design,View
New Updated Patents 2025,9,Dr. Ashok Kumar,Faculty of Pharmacy,DEVICE FOR DEVELOPING TRANSDERMAL PATCHES FOR DIABETES,28.03.2025,447173-001,Grant Design,View
New Updated Patents 2025,10,Dr. Abhishek Sahu,Faculty of Engineering,VERSATILE VIBRATION SETUP FOR MEASURING FREQUENCIES OF PLATES UNDER VARIOUS BOUNDARY CONDITIONS,27.01.2025,432063-001,Grant Design,View
New Updated Patents 2025,11,"Mr. Chandra Kumar Sahu
Ms. Soma Rajwade",Faculty of Engineering,INTEGRATING MACHINE LEARNING WITH TRAVELING SALESMAN PROBLEM (TSP) FOR INTELLIGENT ROUTE OPTIMIZATION IN SMART CITIES,23.05.2025,202541041213,Published,View
New Updated Patents 2025,12,Jharna Maiti,Faculty of Science,Biosensor-based Detection Device for Cancerous Cells,07.07.2025,6442561,Grant Design,View
New Updated Patents 2025,13,"Dr. Rahul Mishra
Dr. Ruchi Chandrakar",Faculty of Engineering,AI Based Humanoid Robot for Surveillance and Security,17.07.2025,455109-001,Grant Design,View
New Updated Patents 2025,14,Mrs. Deepti Patnaik,Faculty of CS & IT,Algorithm for real time economic forecasting and analysis,04.05.2024,202441035498,Published,View
New Updated Patents 2025,15,Dr. Shraddha Verma          Dr. Lubhawani tripathi Hersha Sharma                   Mr. Gulshan Kumar Behra,Faculty of Education,Device to identify student altertness,18.04.2024,406453-001,Grant Design,View
New Updated Patents 2025,16,Saroj Nayyar,Faculty of CS & IT,DEVICE FOR ENHANCING COMPUTER NETWORK SAFETY,10.06.2024,410051-001,Grant Design,View
New Updated Patents 2025,17,Praveen Kumar Yadav,Faculty of Science,REMOTE HEALTH MONITORING WITH BLE CAPABILITY FOR COVID-19 DOCTORS MANAGEMENT,31.05.2024,202441040940,Grant Design,View
New Updated Patents 2025,18,Zubair Ahmed Khan           Dr. Asha Ambarkar,Faculty of CS & IT,IOT BASED WIRELESS SENSOR NODES FOR NETWORK SECURITY,09.05.2024,409715-001,Grant Design,View
New Updated Patents 2025,19,Saroj Nayyar,Faculty of CS & IT,ROBOTIC ARM FOR TEACHING PURPOSE,14.06.2024,418866-001,Grant Design,View
New Updated Patents 2025,20,Mr. Tushar Ranjan Barik,Faculty of Commerce & Management,An Analysis of Environmental Sustainability and Its Impact on Corporate Performance,18.10.2024,202411076923,Published,View
